race,gender,percentage_15,percentage_16
Black,Male,2.521596301,2.84
Black,Female,2.220464777,2.49
Black,Total,4.742205323,5.33
Hispanic,Male,2.412093929,3.12
Hispanic,Female,1.776371821,2.32
Hispanic,Total,4.188593156,5.44
Asian,Male,1.399196983,1.85
Asian,Female,1.417447378,2.4
Asian,Total,2.816730038,4.25
American Indian,Male,0.249422071,0.22
American Indian,Female,0.109502373,0.17
American Indian,Total,0.358935361,0.39
white,Male,55.9861297,52.51
white,Female,31.34505414,30.55
white,Total,87.3338403,83.06
Total,Male,62.85019011,61.35
Total,Female,37.14980989,38.65
Total,Total,100,100
